Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
GEN_age_cat	8	2.242973850061	0.280371731257624	1.49006747705054	0.0226180262627459	0.001
GEN_bmi_cat	4	1.05955186027147	0.264887965067868	1.40777723930753	0.0106844633082591	0.004
GEN_cat	1	0.140318439790648	0.140318439790648	0.745738318997642	0.00141496351205615	0.929
GEN_dog	1	0.208475974738868	0.208475974738868	1.10796929601779	0.00210226038599025	0.254
GEN_last_move	5	0.907140803094395	0.181428160618879	0.964220609355538	0.00914755850044326	0.597
GEN_last_travel	5	1.19886823233776	0.239773646467552	1.27430433465071	0.0120893220239058	0.011
GEN_level_of_education	7	1.49722038180326	0.213888625971895	1.13673544705154	0.0150978888656342	0.061
GEN_race	5	1.15155862603386	0.230311725206771	1.22401787717562	0.0116122545280753	0.029
GEN_sex	3	0.644800299367731	0.214933433122577	1.14228819357144	0.0065021311349346	0.159
HEA_acid_reflux	1	0.28596222549128	0.28596222549128	1.51977879495283	0.00288362752251398	0.024
HEA_add_adhd	1	0.169736603866523	0.169736603866523	0.902084500288365	0.00171161467794104	0.649
HEA_allergic_to_peanuts	1	0.295631205327169	0.295631205327169	1.57116568879227	0.00298112898908531	0.025
HEA_antibiotic_history	5	1.75324082517358	0.350648165034717	1.86355958306504	0.017679585086387	0.001
HEA_appendix_removed	1	0.276879008798849	0.276879008798849	1.47150500600954	0.00279203285960962	0.037
HEA_autoimmune	1	0.194310520496073	0.194310520496073	1.0326853771642	0.00195941671615497	0.369
HEA_bowel_movement_frequency	6	1.45470971552466	0.24245161925411	1.28853672582573	0.0146692136199063	0.003
HEA_bowel_movement_quality	4	0.7894468645686	0.19736171614215	1.04890130370553	0.00796073922813206	0.303
HEA_cancer	1	0.172454429532161	0.172454429532161	0.916528694125221	0.00173902108407515	0.625
HEA_cancer_treatment	4	0.761987361461516	0.190496840365379	1.01241714004511	0.0076838390928848	0.418
HEA_cardiovascular_disease	1	0.157681750067097	0.157681750067097	0.838017607714878	0.00159005418813792	0.767
HEA_cdiff	1	0.335835667760577	0.335835667760577	1.7848368803764	0.00338654860071996	0.008
HEA_chickenpox	1	0.259080566267029	0.259080566267029	1.37691315739536	0.00261255433354044	0.068
HEA_csection	1	0.164741394576119	0.164741394576119	0.875536891970987	0.0016612432592483	0.684
HEA_diabetes	1	0.25757953699754	0.25757953699754	1.36893576649887	0.00259741803605862	0.062
HEA_exercise_frequency	5	1.07105984552563	0.214211969105126	1.13845389093528	0.0108005092054071	0.087
HEA_ibd	1	0.266904148632477	0.266904148632477	1.41849247633914	0.0026914469124288	0.053
HEA_ibs	1	0.19195158252106	0.19195158252106	1.02014853280697	0.00193562931396588	0.394
HEA_liver_disease	1	0.193815050288915	0.193815050288915	1.03005214435496	0.00195442042154476	0.388
HEA_lung_disease	1	0.225572994998743	0.225572994998743	1.19883335613341	0.00227466580803386	0.146
HEA_mental_illness	1	0.138790254498609	0.138790254498609	0.737616604328477	0.00139955337472051	0.927
HEA_migraine	1	0.210423612494242	0.210423612494242	1.11832023854449	0.00212190025914355	0.241
HEA_seasonal_allergies	1	0.15236318937216	0.15236318937216	0.809751511554982	0.00153642211147559	0.842
HEA_sibo	1	0.241897318877431	0.241897318877431	1.28559083338464	0.00243927940181236	0.084
HEA_skin_condition	1	0.199435223045402	0.199435223045402	1.05992119214477	0.00201109393782492	0.342
HEA_sleep_duration	5	0.982374664096266	0.196474932819253	1.04418839280431	0.00990621266127613	0.289
HEA_smoking_frequency	5	0.948222822000499	0.1896445644001	1.00788762242349	0.00956182734380031	0.434
HEA_thyroid	1	0.249665814680196	0.249665814680196	1.32687738852121	0.0025176164907999	0.077
HEA_weight_change	3	0.569094977507159	0.18969832583572	1.0081733436921	0.00573872278845501	0.419
Residuals	410	77.1457746619395	0.188160426004731	NA	0.777933794152871	NA
Total	507	99.1675323038861	NA	NA	1	NA
