Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
GEN_age_cat	8	2.0325402157201	0.254067526965013	1.7949757473229	0.0273287073595182	0.005
GEN_bmi_cat	4	0.549331033006103	0.137332758251526	0.970249812398868	0.00738608118472426	0.46
GEN_cat	1	0.133607848826621	0.133607848826621	0.943933493432224	0.00179643668217599	0.39
GEN_dog	1	0.0523187279541917	0.0523187279541917	0.369629479730761	0.000703456293077965	0.877
GEN_last_move	5	0.615336831168775	0.123067366233755	0.869465453988993	0.00827356824553009	0.618
GEN_last_travel	5	0.714443853765643	0.142888770753129	1.00950279294043	0.00960612087935997	0.422
GEN_level_of_education	7	1.27839427232642	0.182627753189489	1.29025693160838	0.0171887683639831	0.171
GEN_race	5	0.680708310083914	0.136141662016783	0.961834770619894	0.00915252650825643	0.479
GEN_sex	3	0.42333905931029	0.141113019770097	0.996957191438722	0.00569204445563494	0.424
HEA_acid_reflux	1	0.122956143547898	0.122956143547898	0.86867967067363	0.00165321819420185	0.436
HEA_add_adhd	1	0.0671986271560963	0.0671986271560963	0.474755303991278	0.000903525353302639	0.796
HEA_allergic_to_peanuts	1	0.201617510349847	0.201617510349847	1.42441871905746	0.0027108668730343	0.188
HEA_antibiotic_history	5	1.02171643462656	0.204343286925312	1.44367620900128	0.0137375827697594	0.085
HEA_appendix_removed	1	0.0902161482527202	0.0902161482527202	0.63737306402333	0.00121300956095868	0.627
HEA_autoimmune	1	0.103831938756798	0.103831938756798	0.733568016709333	0.00139608193083187	0.53
HEA_bowel_movement_frequency	6	0.958951376460472	0.159825229410079	1.12915811803417	0.0128936693781533	0.287
HEA_bowel_movement_quality	4	0.788437010144818	0.197109252536205	1.39256807865948	0.0106010027034213	0.143
HEA_cancer	1	0.0632783444093565	0.0632783444093565	0.447058681218958	0.000850814829238415	0.798
HEA_cancer_treatment	4	0.462538791121995	0.115634697780499	0.816953982842489	0.0062191080733524	0.653
HEA_cardiovascular_disease	1	0.0844839823863754	0.0844839823863754	0.596875567815804	0.00113593719491841	0.677
HEA_cdiff	1	0.601527183391546	0.601527183391546	4.24976272426963	0.00808788934977048	0.005
HEA_chickenpox	1	0.187186068034638	0.187186068034638	1.32246122270155	0.00251682758133527	0.22
HEA_csection	1	0.487864983637854	0.487864983637854	3.44674435201876	0.00655963373599053	0.013
HEA_diabetes	1	0.228545963844795	0.228545963844795	1.61466704206727	0.00307293588378058	0.164
HEA_exercise_frequency	5	0.644985311894825	0.128997062378965	0.911358492807416	0.00867220963385286	0.559
HEA_ibd	1	0.186475946108068	0.186475946108068	1.31744424295974	0.00250727957132754	0.22
HEA_ibs	1	0.19061014286083	0.19061014286083	1.34665215864466	0.00256286629593406	0.216
HEA_liver_disease	1	0.207408625912796	0.207408625912796	1.46533269224251	0.0027887318526696	0.19
HEA_lung_disease	1	0.0631298072450175	0.0631298072450175	0.446009272777236	0.000848817659064443	0.82
HEA_mental_illness	1	0.0662413568882201	0.0662413568882201	0.467992232240249	0.000890654287425359	0.795
HEA_migraine	1	0.140912527755507	0.140912527755507	0.995540724297016	0.00189465241796256	0.369
HEA_seasonal_allergies	1	0.0554015427001637	0.0554015427001637	0.391409428426335	0.000744906563721898	0.864
HEA_sibo	1	0.106687351873509	0.106687351873509	0.753741383035639	0.00143447465184845	0.529
HEA_skin_condition	1	0.12893256380949	0.12893256380949	0.910902813290531	0.00173357470529242	0.434
HEA_sleep_duration	5	0.554509058833524	0.110901811766705	0.783516354228212	0.0074557028096462	0.738
HEA_smoking_frequency	5	1.03325487186953	0.206650974373907	1.45997991790934	0.0138927238943289	0.085
HEA_thyroid	1	0.342453473044433	0.342453473044433	2.41941851461365	0.00460448982839253	0.062
HEA_weight_change	3	0.669520233568292	0.223173411189431	1.5767101971576	0.00900209619123414	0.1
Residuals	410	58.0329211751273	0.141543710183237	NA	0.780287006252989	NA
Total	507	74.3738146477754	NA	NA	1	NA
