Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
5-6 hours,6-7 hours,216,999,1.0241580085846418,0.36,0.5760000000000001
5-6 hours,7-8 hours,279,999,0.9506898818471523,0.548,0.5871428571428572
5-6 hours,8 or more hours,138,999,1.1370488985120542,0.191,0.4092857142857143
5-6 hours,Less than 5 hours,66,999,0.9108047459460917,0.504,0.5871428571428572
5-6 hours,Not provided,70,999,1.5335127955772567,0.028,0.13999999999999999
6-7 hours,7-8 hours,365,999,1.0599124110448277,0.301,0.564375
6-7 hours,8 or more hours,224,999,1.2986060856890254,0.096,0.28800000000000003
6-7 hours,Less than 5 hours,152,999,1.0038768657817227,0.384,0.5760000000000001
6-7 hours,Not provided,156,999,1.5191797782214083,0.028,0.13999999999999999
7-8 hours,8 or more hours,287,999,1.4377720643891525,0.04,0.15
7-8 hours,Less than 5 hours,215,999,0.9642346752054973,0.481,0.5871428571428572
7-8 hours,Not provided,219,999,1.6108302238884173,0.017,0.13999999999999999
8 or more hours,Less than 5 hours,74,999,0.926647232422702,0.509,0.5871428571428572
8 or more hours,Not provided,78,999,1.2308801612134612,0.132,0.33
Less than 5 hours,Not provided,6,999,0.8552074093551254,0.657,0.657
