Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Associate's degree,Bachelor's degree,130,999,0.8170640375726047,0.858,0.9412307692307692
Associate's degree,Did not complete high school,22,999,1.2358439280835285,0.077,0.17966666666666667
Associate's degree,Graduate or Professional degree,235,999,0.7826615834196016,0.92,0.9540740740740741
Associate's degree,High School or GED equilivant,29,999,0.9448694580061032,0.503,0.684
Associate's degree,Not provided,27,999,1.2235967371890903,0.116,0.232
Associate's degree,Some college or technical school,83,999,0.7794993024266239,0.874,0.9412307692307692
Associate's degree,Some graduate school or professional,37,999,1.0937351453493092,0.281,0.4628235294117648
Bachelor's degree,Did not complete high school,134,999,1.4171399254298767,0.047,0.1316
Bachelor's degree,Graduate or Professional degree,347,999,0.9507689419642721,0.543,0.6878260869565217
Bachelor's degree,High School or GED equilivant,141,999,0.6758486298036745,0.985,0.985
Bachelor's degree,Not provided,139,999,1.7547794678943593,0.011,0.061599999999999995
Bachelor's degree,Some college or technical school,195,999,0.9582311126319967,0.513,0.684
Bachelor's degree,Some graduate school or professional,149,999,1.2561097598998254,0.089,0.1916923076923077
Did not complete high school,Graduate or Professional degree,239,999,1.7143630957121865,0.005,0.04666666666666667
Did not complete high school,High School or GED equilivant,33,999,1.1595296635011922,0.174,0.3045
Did not complete high school,Not provided,31,999,0.9933225687106614,0.431,0.6704444444444444
Did not complete high school,Some college or technical school,87,999,1.4313106648451954,0.035,0.1088888888888889
Did not complete high school,Some graduate school or professional,41,999,1.6298036516769132,0.011,0.061599999999999995
Graduate or Professional degree,High School or GED equilivant,246,999,0.9058363329178898,0.672,0.7840000000000001
Graduate or Professional degree,Not provided,244,999,2.371179824665977,0.001,0.028
Graduate or Professional degree,Some college or technical school,300,999,1.2675867272981591,0.077,0.17966666666666667
Graduate or Professional degree,Some graduate school or professional,254,999,1.453516273622419,0.024,0.084
High School or GED equilivant,Not provided,38,999,1.18690051726811,0.165,0.3045
High School or GED equilivant,Some college or technical school,94,999,0.925206507185257,0.565,0.6878260869565217
High School or GED equilivant,Some graduate school or professional,48,999,0.9762326880048238,0.458,0.6749473684210526
Not provided,Some college or technical school,92,999,1.5550356308464284,0.023,0.084
Not provided,Some graduate school or professional,46,999,1.9251553397977457,0.002,0.028
Some college or technical school,Some graduate school or professional,102,999,1.575181772241972,0.019,0.084
