Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Associate's degree,Bachelor's degree,130,999,0.8170640375726047,0.834,0.9340799999999999
Associate's degree,Did not complete high school,22,999,1.2358439280835285,0.114,0.24553846153846154
Associate's degree,Graduate or Professional degree,235,999,0.7826615834196016,0.907,0.9405925925925926
Associate's degree,High School or GED equilivant,29,999,0.9448694580061032,0.555,0.7076363636363637
Associate's degree,Not provided,27,999,1.2235967371890903,0.142,0.284
Associate's degree,Some college or technical school,83,999,0.7794993024266239,0.887,0.9405925925925926
Associate's degree,Some graduate school or professional,37,999,1.0937351453493092,0.278,0.4578823529411766
Bachelor's degree,Did not complete high school,134,999,1.4171399254298767,0.038,0.1064
Bachelor's degree,Graduate or Professional degree,347,999,0.9507689419642721,0.556,0.7076363636363637
Bachelor's degree,High School or GED equilivant,141,999,0.6758486298036745,0.99,0.99
Bachelor's degree,Not provided,139,999,1.7547794678943593,0.004,0.035
Bachelor's degree,Some college or technical school,195,999,0.9582311126319967,0.512,0.7076363636363637
Bachelor's degree,Some graduate school or professional,149,999,1.2561097598998254,0.075,0.19090909090909092
Did not complete high school,Graduate or Professional degree,239,999,1.7143630957121865,0.005,0.035
Did not complete high school,High School or GED equilivant,33,999,1.1595296635011922,0.177,0.30975
Did not complete high school,Not provided,31,999,0.9933225687106614,0.422,0.6564444444444444
Did not complete high school,Some college or technical school,87,999,1.4313106648451954,0.032,0.09955555555555555
Did not complete high school,Some graduate school or professional,41,999,1.6298036516769132,0.014,0.06533333333333334
Graduate or Professional degree,High School or GED equilivant,246,999,0.9058363329178898,0.663,0.7735000000000001
Graduate or Professional degree,Not provided,244,999,2.371179824665977,0.001,0.028
Graduate or Professional degree,Some college or technical school,300,999,1.2675867272981591,0.085,0.19833333333333336
Graduate or Professional degree,Some graduate school or professional,254,999,1.453516273622419,0.014,0.06533333333333334
High School or GED equilivant,Not provided,38,999,1.18690051726811,0.174,0.30975
High School or GED equilivant,Some college or technical school,94,999,0.925206507185257,0.591,0.7194782608695652
High School or GED equilivant,Some graduate school or professional,48,999,0.9762326880048238,0.464,0.6837894736842105
Not provided,Some college or technical school,92,999,1.5550356308464284,0.021,0.084
Not provided,Some graduate school or professional,46,999,1.9251553397977457,0.004,0.035
Some college or technical school,Some graduate school or professional,102,999,1.575181772241972,0.025,0.08750000000000001
