Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
1 year,3 months,181,999,1.0603633297028932,0.306,0.6675000000000001
1 year,6 months,162,999,0.8193369365036928,0.846,0.9546428571428571
1 year,I have not been outside of my country of residence in the past year.,256,999,1.5505132369670007,0.021,0.07875
1 year,Month,168,999,1.0146446193042464,0.416,0.6675000000000001
1 year,Not provided,106,999,0.8875736009356926,0.688,0.8599999999999999
3 months,6 months,161,999,1.2178829165092775,0.12,0.36
3 months,I have not been outside of my country of residence in the past year.,255,999,1.6463858088028067,0.006,0.03
3 months,Month,167,999,0.9866797097320191,0.445,0.6675000000000001
3 months,Not provided,105,999,0.7897168849207745,0.891,0.9546428571428571
6 months,I have not been outside of my country of residence in the past year.,236,999,1.8625531258329344,0.004,0.03
6 months,Month,148,999,0.9305201500984743,0.619,0.8440909090909091
6 months,Not provided,86,999,1.0196399932214253,0.416,0.6675000000000001
I have not been outside of my country of residence in the past year.,Month,242,999,2.18400080623255,0.001,0.015000000000000001
I have not been outside of my country of residence in the past year.,Not provided,180,999,0.7063734693641609,0.973,0.973
Month,Not provided,92,999,1.0611422363719962,0.348,0.6675000000000001
