Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
20s,30s,119,999,1.4299882462558973,0.027,0.07476923076923077
20s,40s,149,999,2.213568765883542,0.002,0.012
20s,50s,164,999,3.1201156063499864,0.001,0.012
20s,60s,124,999,2.8493727876284396,0.002,0.012
20s,70+,78,999,2.5679818150692997,0.001,0.012
20s,Not provided,74,999,1.2344367685640583,0.14,0.20160000000000003
20s,child,54,999,1.3362179038229984,0.074,0.148
20s,teen,55,999,1.2102473043182775,0.166,0.22133333333333335
30s,40s,180,999,1.1692342010367887,0.165,0.22133333333333335
30s,50s,195,999,1.7028278830285652,0.006,0.024
30s,60s,155,999,1.882947104306919,0.004,0.018000000000000002
30s,70+,109,999,1.888061030194195,0.002,0.012
30s,Not provided,105,999,0.9736691727188493,0.488,0.5019428571428571
30s,child,85,999,1.1974309579333615,0.135,0.20160000000000003
30s,teen,86,999,1.5645743443438933,0.018,0.054
40s,50s,225,999,1.0716959000713246,0.269,0.30262500000000003
40s,60s,185,999,1.2106411287486398,0.119,0.1947272727272727
40s,70+,139,999,1.2826640898086845,0.085,0.153
40s,Not provided,135,999,1.1307263476054312,0.197,0.2364
40s,child,115,999,1.0904280941364877,0.268,0.30262500000000003
40s,teen,116,999,1.6445261234492818,0.014,0.04581818181818181
50s,60s,200,999,1.0818605661646576,0.293,0.3196363636363636
50s,70+,154,999,1.129610816660595,0.192,0.2364
50s,Not provided,150,999,1.4038197752153203,0.036,0.09257142857142857
50s,child,130,999,1.27634566229846,0.083,0.153
50s,teen,131,999,2.0202659575390407,0.002,0.012
60s,70+,114,999,0.9089045956227954,0.66,0.66
60s,Not provided,110,999,1.2306328955751917,0.126,0.19721739130434784
60s,child,90,999,1.2124858683223334,0.116,0.1947272727272727
60s,teen,91,999,2.0456339725746133,0.004,0.018000000000000002
70+,Not provided,64,999,1.3763828627490176,0.048,0.11250000000000002
70+,child,44,999,1.1541966561536066,0.175,0.22499999999999998
70+,teen,45,999,1.7914124344590168,0.012,0.0432
Not provided,child,40,999,1.0237008849527702,0.377,0.3991764705882353
Not provided,teen,41,999,1.3776124695866365,0.063,0.13341176470588237
child,teen,21,999,1.332060291879399,0.05,0.11250000000000002
