Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Daily,Never,485,999,1.811534089795598,0.011,0.16499999999999998
Daily,Not provided,12,999,1.1532386409759152,0.263,0.7875
Daily,Occasionally,14,999,1.4708910183556627,0.034,0.255
Daily,Rarely,25,999,1.211160475980237,0.121,0.605
Daily,Regularly,13,999,1.1713908192598714,0.183,0.68625
Never,Not provided,477,999,0.8321503793728359,0.735,0.7875
Never,Occasionally,479,999,0.9886132321822826,0.434,0.7875
Never,Rarely,490,999,0.8728587159964383,0.734,0.7875
Never,Regularly,478,999,0.8621179390570409,0.693,0.7875
Not provided,Occasionally,6,999,0.9794332383037115,0.715,0.7875
Not provided,Rarely,17,999,0.951057307465595,0.492,0.7875
Not provided,Regularly,5,999,0.8997466135708576,0.519,0.7875
Occasionally,Rarely,19,999,1.0275227157041493,0.377,0.7875
Occasionally,Regularly,7,999,0.7653576827531496,0.967,0.967
Rarely,Regularly,18,999,0.9155204931473991,0.623,0.7875
