Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Daily,Never,115,999,1.7569800261854753,0.007,0.026250000000000002
Daily,Not provided,105,999,1.7654008808086152,0.01,0.03
Daily,Occasionally,232,999,1.2448728287351198,0.095,0.14250000000000002
Daily,Rarely,168,999,0.9556852964264186,0.541,0.6242307692307693
Daily,Regularly,285,999,1.0072803648340356,0.421,0.52625
Never,Not provided,22,999,0.7474559042436724,0.862,0.9235714285714286
Never,Occasionally,149,999,1.563562516536026,0.016,0.030000000000000002
Never,Rarely,85,999,1.484247043320387,0.031,0.051666666666666666
Never,Regularly,202,999,2.1614031916074326,0.001,0.015000000000000001
Not provided,Occasionally,139,999,1.6602265182755722,0.013,0.03
Not provided,Rarely,75,999,1.6770263126373113,0.006,0.026250000000000002
Not provided,Regularly,192,999,2.0980077692645165,0.002,0.015000000000000001
Occasionally,Rarely,202,999,0.7509862022072135,0.944,0.944
Occasionally,Regularly,319,999,1.6590842769639824,0.014,0.03
Rarely,Regularly,255,999,1.2198628597782257,0.135,0.1840909090909091
