Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
5-6 hours,6-7 hours,216,999,1.0241580085846418,0.377,0.5976923076923077
5-6 hours,7-8 hours,279,999,0.9506898818471523,0.561,0.6010714285714286
5-6 hours,8 or more hours,138,999,1.1370488985120542,0.217,0.46499999999999997
5-6 hours,Less than 5 hours,66,999,0.9108047459460917,0.487,0.5976923076923077
5-6 hours,Not provided,70,999,1.5335127955772567,0.033,0.12375000000000001
6-7 hours,7-8 hours,365,999,1.0599124110448277,0.324,0.5976923076923077
6-7 hours,8 or more hours,224,999,1.2986060856890254,0.084,0.25200000000000006
6-7 hours,Less than 5 hours,152,999,1.0038768657817227,0.431,0.5976923076923077
6-7 hours,Not provided,156,999,1.5191797782214083,0.03,0.12375000000000001
7-8 hours,8 or more hours,287,999,1.4377720643891525,0.032,0.12375000000000001
7-8 hours,Less than 5 hours,215,999,0.9642346752054973,0.479,0.5976923076923077
7-8 hours,Not provided,219,999,1.6108302238884173,0.022,0.12375000000000001
8 or more hours,Less than 5 hours,74,999,0.926647232422702,0.518,0.5976923076923077
8 or more hours,Not provided,78,999,1.2308801612134612,0.143,0.35749999999999993
Less than 5 hours,Not provided,6,999,0.8552074093551254,0.651,0.651
