Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Normal,Not provided,281,999,0.9147458069327123,0.607,0.61
Normal,Obese,311,999,1.7093730470828967,0.004,0.04
Normal,Overweight,415,999,1.247576726096258,0.107,0.214
Normal,Underweight,303,999,1.1802476029144675,0.148,0.24666666666666667
Not provided,Obese,58,999,1.292340845069628,0.075,0.19249999999999998
Not provided,Overweight,162,999,0.9281706951691567,0.61,0.61
Not provided,Underweight,50,999,1.0317369824412927,0.367,0.45875
Obese,Overweight,192,999,1.2822604765647483,0.077,0.19249999999999998
Obese,Underweight,80,999,1.0550949487199361,0.311,0.44428571428571434
Overweight,Underweight,184,999,1.330870615881205,0.051,0.19249999999999998
