Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Chemotherapy,No treatment,13,999,1.0543565738214944,0.258,0.6333333333333334
Chemotherapy,Not provided,478,999,1.2866319417086962,0.077,0.6333333333333334
Chemotherapy,Radiation therapy,14,999,1.1180236817583622,0.231,0.6333333333333334
Chemotherapy,Surgery only,37,999,1.156501389505743,0.178,0.6333333333333334
No treatment,Not provided,469,999,1.0399136694685933,0.342,0.6333333333333334
No treatment,Radiation therapy,5,999,1.0664734875111108,0.484,0.69
No treatment,Surgery only,28,999,0.919724787619204,0.572,0.69
Not provided,Radiation therapy,470,999,0.8819583501682529,0.665,0.69
Not provided,Surgery only,493,999,1.0270241401725844,0.38,0.6333333333333334
Radiation therapy,Surgery only,29,999,0.8779673038152035,0.69,0.69
