Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
1 year,3 months,181,999,1.0603633297028932,0.324,0.67
1 year,6 months,162,999,0.8193369365036928,0.847,0.963
1 year,I have not been outside of my country of residence in the past year.,256,999,1.5505132369670007,0.027,0.10125
1 year,Month,168,999,1.0146446193042464,0.402,0.67
1 year,Not provided,106,999,0.8875736009356926,0.696,0.8699999999999999
3 months,6 months,161,999,1.2178829165092775,0.124,0.372
3 months,I have not been outside of my country of residence in the past year.,255,999,1.6463858088028067,0.009,0.04499999999999999
3 months,Month,167,999,0.9866797097320191,0.477,0.7155
3 months,Not provided,105,999,0.7897168849207745,0.918,0.963
6 months,I have not been outside of my country of residence in the past year.,236,999,1.8625531258329344,0.005,0.0375
6 months,Month,148,999,0.9305201500984743,0.604,0.8236363636363637
6 months,Not provided,86,999,1.0196399932214253,0.373,0.67
I have not been outside of my country of residence in the past year.,Month,242,999,2.18400080623255,0.001,0.015000000000000001
I have not been outside of my country of residence in the past year.,Not provided,180,999,0.7063734693641609,0.963,0.963
Month,Not provided,92,999,1.0611422363719962,0.301,0.67
