sampleid	GEN_last_travel
#q2:types	categorical
10317.000046093	1 year
10317.000050156	1 year
10317.000037960	Month
10317.000047201	1 year
10317.000046346	6 months
10317.000046308	Not provided
10317.000046301	3 months
10317.000046306	3 months
10317.000046305	3 months
10317.000051111	3 months
10317.000038229	Month
10317.000042549	I have not been outside of my country of residence in the past year.
10317.000033294	I have not been outside of my country of residence in the past year.
10317.000033295	I have not been outside of my country of residence in the past year.
10317.000054309	I have not been outside of my country of residence in the past year.
10317.000046383	6 months
10317.000046385	I have not been outside of my country of residence in the past year.
10317.000052404	1 year
10317.000052406	I have not been outside of my country of residence in the past year.
10317.000052409	3 months
10317.000053468	Month
10317.000051197	I have not been outside of my country of residence in the past year.
10317.000049911	I have not been outside of my country of residence in the past year.
10317.000028652	Month
10317.000050293	I have not been outside of my country of residence in the past year.
10317.000050290	Month
10317.000050296	Month
10317.000050295	1 year
10317.000050294	1 year
10317.000050298	I have not been outside of my country of residence in the past year.
10317.000051264	6 months
10317.000058509	I have not been outside of my country of residence in the past year.
10317.000058508	I have not been outside of my country of residence in the past year.
10317.000047813	I have not been outside of my country of residence in the past year.
10317.000047602	1 year
10317.000047603	1 year
10317.000047604	I have not been outside of my country of residence in the past year.
10317.000047605	I have not been outside of my country of residence in the past year.
10317.000047606	I have not been outside of my country of residence in the past year.
10317.000047607	I have not been outside of my country of residence in the past year.
10317.000050009	3 months
10317.000050002	6 months
10317.000050001	6 months
10317.000050004	Month
10317.000047183	Month
10317.000046333	3 months
10317.000046332	1 year
10317.000046336	I have not been outside of my country of residence in the past year.
10317.000052274	I have not been outside of my country of residence in the past year.
10317.000054094	Not provided
10317.000054099	I have not been outside of my country of residence in the past year.
10317.000052001	1 year
10317.000052008	6 months
10317.000053357	6 months
10317.000053356	I have not been outside of my country of residence in the past year.
10317.000053353	Month
10317.000053352	3 months
10317.000048268	1 year
10317.000050029	3 months
10317.000047738	1 year
10317.000047739	1 year
10317.000047736	1 year
10317.000062087	I have not been outside of my country of residence in the past year.
10317.000062086	6 months
10317.000062085	I have not been outside of my country of residence in the past year.
10317.000062084	6 months
10317.000062083	I have not been outside of my country of residence in the past year.
10317.000062082	3 months
10317.000062081	Month
10317.000062088	I have not been outside of my country of residence in the past year.
10317.000050326	I have not been outside of my country of residence in the past year.
10317.000053436	3 months
10317.000053435	1 year
10317.000049928	I have not been outside of my country of residence in the past year.
10317.000049925	I have not been outside of my country of residence in the past year.
10317.000049921	3 months
10317.000051144	1 year
10317.000051145	I have not been outside of my country of residence in the past year.
10317.000044550	I have not been outside of my country of residence in the past year.
10317.000044555	3 months
10317.000037586	1 year
10317.000037588	I have not been outside of my country of residence in the past year.
10317.000050231	1 year
10317.000028233	Month
10317.000050281	I have not been outside of my country of residence in the past year.
10317.000050288	1 year
10317.000050289	3 months
10317.000051238	Month
10317.000051239	I have not been outside of my country of residence in the past year.
10317.000051237	I have not been outside of my country of residence in the past year.
10317.000051232	1 year
10317.000051231	6 months
10317.000033484	I have not been outside of my country of residence in the past year.
10317.000037986	6 months
10317.000048309	6 months
10317.000048303	Month
10317.000048304	Month
10317.000027918	I have not been outside of my country of residence in the past year.
10317.000030366	Month
10317.000050240	Month
10317.000050241	I have not been outside of my country of residence in the past year.
10317.000044340	1 year
10317.000038111	3 months
10317.000050032	3 months
10317.000058550	3 months
10317.000058551	3 months
10317.000058552	3 months
10317.000033296	I have not been outside of my country of residence in the past year.
10317.000033297	I have not been outside of my country of residence in the past year.
10317.000038323	3 months
10317.000038324	Month
10317.000047151	3 months
10317.000051999	I have not been outside of my country of residence in the past year.
10317.000044423	I have not been outside of my country of residence in the past year.
10317.000038019	6 months
10317.000047228	Not provided
10317.000047229	Month
10317.000047220	1 year
10317.000047221	6 months
10317.000046201	1 year
10317.000053401	3 months
10317.000036938	I have not been outside of my country of residence in the past year.
10317.000051130	Month
10317.000038076	I have not been outside of my country of residence in the past year.
10317.000038201	3 months
10317.000047588	1 year
10317.000042697	6 months
10317.000053305	I have not been outside of my country of residence in the past year.
10317.000053308	I have not been outside of my country of residence in the past year.
10317.000050242	1 year
10317.000004079	I have not been outside of my country of residence in the past year.
10317.000051204	3 months
10317.000035761	I have not been outside of my country of residence in the past year.
10317.000035768	Month
10317.000026047	I have not been outside of my country of residence in the past year.
10317.000026048	I have not been outside of my country of residence in the past year.
10317.000034151	I have not been outside of my country of residence in the past year.
10317.000052429	1 year
10317.000052426	6 months
10317.000052425	6 months
10317.000052421	3 months
10317.000040469	1 year
10317.000053481	I have not been outside of my country of residence in the past year.
10317.000053480	Month
10317.000027920	I have not been outside of my country of residence in the past year.
10317.000033318	6 months
10317.000052383	I have not been outside of my country of residence in the past year.
10317.000052381	Month
10317.000052380	I have not been outside of my country of residence in the past year.
10317.000052384	I have not been outside of my country of residence in the past year.
10317.000053386	1 year
10317.000053387	Month
10317.000053463	I have not been outside of my country of residence in the past year.
10317.000051193	Month
10317.000042969	Not provided
10317.000054205	I have not been outside of my country of residence in the past year.
10317.000054206	I have not been outside of my country of residence in the past year.
10317.000054207	1 year
10317.000054208	6 months
10317.000047620	3 months
10317.000050235	Not provided
10317.000050234	6 months
10317.000050236	3 months
10317.000052266	1 year
10317.000054072	Month
10317.000047397	I have not been outside of my country of residence in the past year.
10317.000053433	I have not been outside of my country of residence in the past year.
10317.000046290	1 year
10317.000046292	6 months
10317.000046293	3 months
10317.000046294	3 months
10317.000046295	Month
10317.000053439	I have not been outside of my country of residence in the past year.
10317.000052516	Month
10317.000037978	Month
10317.000050031	3 months
10317.000031597	Month
10317.000031596	Month
10317.000031598	Month
10317.000047218	Month
10317.000030384	3 months
10317.000030383	3 months
10317.000030382	Month
10317.000053371	Month
10317.000053373	6 months
10317.000002929	1 year
10317.000054330	Month
10317.000054333	3 months
10317.000054334	1 year
10317.000054336	3 months
10317.000054338	I have not been outside of my country of residence in the past year.
10317.000038044	Month
10317.000052416	I have not been outside of my country of residence in the past year.
10317.000052414	1 year
10317.000052412	1 year
10317.000052418	I have not been outside of my country of residence in the past year.
10317.000053454	I have not been outside of my country of residence in the past year.
10317.000053457	1 year
10317.000053458	I have not been outside of my country of residence in the past year.
10317.000053459	Month
10317.000058487	I have not been outside of my country of residence in the past year.
10317.000058480	I have not been outside of my country of residence in the past year.
10317.000051160	I have not been outside of my country of residence in the past year.
10317.000051258	6 months
10317.000051255	6 months
10317.000051256	6 months
10317.000046269	3 months
10317.000047796	6 months
10317.000047795	1 year
10317.000048326	I have not been outside of my country of residence in the past year.
10317.000048325	I have not been outside of my country of residence in the past year.
10317.000048329	I have not been outside of my country of residence in the past year.
10317.000049981	3 months
10317.000042749	6 months
10317.000050269	3 months
10317.000050267	6 months
10317.000050265	1 year
10317.000050262	3 months
10317.000050261	6 months
10317.000050193	I have not been outside of my country of residence in the past year.
10317.000047455	I have not been outside of my country of residence in the past year.
10317.000042865	I have not been outside of my country of residence in the past year.
10317.000052523	1 year
10317.000052524	1 year
10317.000048292	3 months
10317.000047176	3 months
10317.000046270	6 months
10317.000046344	6 months
10317.000046345	I have not been outside of my country of residence in the past year.
10317.000046342	1 year
10317.000036170	1 year
10317.000051099	I have not been outside of my country of residence in the past year.
10317.000051094	6 months
10317.000021985	1 year
10317.000062078	3 months
10317.000062072	3 months
10317.000062073	I have not been outside of my country of residence in the past year.
10317.000062070	I have not been outside of my country of residence in the past year.
10317.000062076	3 months
10317.000062077	I have not been outside of my country of residence in the past year.
10317.000062074	3 months
10317.000062075	1 year
10317.000053425	I have not been outside of my country of residence in the past year.
10317.000053424	Month
10317.000051159	I have not been outside of my country of residence in the past year.
10317.000045018	Month
10317.000053321	Month
10317.000053326	I have not been outside of my country of residence in the past year.
10317.000053324	6 months
10317.000054198	3 months
10317.000033783	Month
10317.000030471	1 year
10317.000047370	1 year
10317.000052448	Month
10317.000048316	1 year
10317.000048315	1 year
10317.000049956	3 months
10317.000049954	Month
10317.000036975	1 year
10317.000050257	I have not been outside of my country of residence in the past year.
10317.000050253	1 year
10317.000050252	Not provided
10317.000022952	Month
10317.000033701	I have not been outside of my country of residence in the past year.
10317.000046186	I have not been outside of my country of residence in the past year.
10317.000050046	3 months
10317.000050047	3 months
10317.000050045	3 months
10317.000035402	I have not been outside of my country of residence in the past year.
10317.000035401	I have not been outside of my country of residence in the past year.
10317.000040490	I have not been outside of my country of residence in the past year.
10317.000047142	I have not been outside of my country of residence in the past year.
10317.000047141	Month
10317.000047140	Month
10317.000023515	6 months
10317.000046375	1 year
10317.000047609	6 months
10317.000032653	6 months
10317.000032650	6 months
10317.000041643	Month
10317.000051569	3 months
10317.000051564	I have not been outside of my country of residence in the past year.
10317.000051563	I have not been outside of my country of residence in the past year.
10317.000051560	I have not been outside of my country of residence in the past year.
10317.000054054	1 year
10317.000047403	6 months
10317.000047401	I have not been outside of my country of residence in the past year.
10317.000047404	6 months
10317.000030255	I have not been outside of my country of residence in the past year.
10317.000027853	1 year
10317.000033225	1 year
10317.000046106	Not provided
10317.000052288	Month
10317.000052289	Month
10317.000052280	1 year
10317.000047230	1 year
10317.000047232	6 months
10317.000047237	1 year
10317.000044252	I have not been outside of my country of residence in the past year.
10317.000058469	I have not been outside of my country of residence in the past year.
10317.000036924	I have not been outside of my country of residence in the past year.
10317.000051100	Not provided
10317.000053311	1 year
10317.000053310	I have not been outside of my country of residence in the past year.
10317.000053317	I have not been outside of my country of residence in the past year.
10317.000053316	3 months
10317.000042722	Not provided
10317.000042724	3 months
