Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Normal,Not provided,281,999,0.9147458069327123,0.598,0.617
Normal,Obese,311,999,1.7093730470828967,0.004,0.04
Normal,Overweight,415,999,1.247576726096258,0.095,0.19
Normal,Underweight,303,999,1.1802476029144675,0.153,0.255
Not provided,Obese,58,999,1.292340845069628,0.07,0.18999999999999997
Not provided,Overweight,162,999,0.9281706951691567,0.617,0.617
Not provided,Underweight,50,999,1.0317369824412927,0.351,0.43875
Obese,Overweight,192,999,1.2822604765647483,0.076,0.18999999999999997
Obese,Underweight,80,999,1.0550949487199361,0.31,0.43875
Overweight,Underweight,184,999,1.330870615881205,0.057,0.18999999999999997
