Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
20s,30s,119,999,1.4299882462558973,0.029,0.08030769230769232
20s,40s,149,999,2.213568765883542,0.001,0.009000000000000001
20s,50s,164,999,3.1201156063499864,0.001,0.009000000000000001
20s,60s,124,999,2.8493727876284396,0.001,0.009000000000000001
20s,70+,78,999,2.5679818150692997,0.001,0.009000000000000001
20s,Not provided,74,999,1.2344367685640583,0.129,0.1935
20s,child,54,999,1.3362179038229984,0.062,0.124
20s,teen,55,999,1.2102473043182775,0.172,0.2293333333333333
30s,40s,180,999,1.1692342010367887,0.158,0.21876923076923077
30s,50s,195,999,1.7028278830285652,0.005,0.02
30s,60s,155,999,1.882947104306919,0.002,0.012
30s,70+,109,999,1.888061030194195,0.002,0.012
30s,Not provided,105,999,0.9736691727188493,0.499,0.5132571428571429
30s,child,85,999,1.1974309579333615,0.143,0.20592
30s,teen,86,999,1.5645743443438933,0.02,0.060000000000000005
40s,50s,225,999,1.0716959000713246,0.248,0.288
40s,60s,185,999,1.2106411287486398,0.129,0.1935
40s,70+,139,999,1.2826640898086845,0.08,0.15157894736842106
40s,Not provided,135,999,1.1307263476054312,0.203,0.24479999999999996
40s,child,115,999,1.0904280941364877,0.272,0.29890909090909096
40s,teen,116,999,1.6445261234492818,0.007,0.022909090909090907
50s,60s,200,999,1.0818605661646576,0.274,0.29890909090909096
50s,70+,154,999,1.129610816660595,0.186,0.23914285714285713
50s,Not provided,150,999,1.4038197752153203,0.044,0.1104
50s,child,130,999,1.27634566229846,0.093,0.1674
50s,teen,131,999,2.0202659575390407,0.005,0.02
60s,70+,114,999,0.9089045956227954,0.639,0.639
60s,Not provided,110,999,1.2306328955751917,0.119,0.1935
60s,child,90,999,1.2124858683223334,0.111,0.19028571428571428
60s,teen,91,999,2.0456339725746133,0.004,0.02
70+,Not provided,64,999,1.3763828627490176,0.046,0.1104
70+,child,44,999,1.1541966561536066,0.204,0.24479999999999996
70+,teen,45,999,1.7914124344590168,0.006,0.0216
Not provided,child,40,999,1.0237008849527702,0.4,0.42352941176470593
Not provided,teen,41,999,1.3776124695866365,0.058,0.124
child,teen,21,999,1.332060291879399,0.061,0.124
