Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Associate's degree,Bachelor's degree,130,999,0.8170640375726047,0.818,0.9161599999999999
Associate's degree,Did not complete high school,22,999,1.2358439280835285,0.126,0.262
Associate's degree,Graduate or Professional degree,235,999,0.7826615834196016,0.899,0.9322962962962963
Associate's degree,High School or GED equilivant,29,999,0.9448694580061032,0.536,0.7000000000000001
Associate's degree,Not provided,27,999,1.2235967371890903,0.131,0.262
Associate's degree,Some college or technical school,83,999,0.7794993024266239,0.893,0.9322962962962963
Associate's degree,Some graduate school or professional,37,999,1.0937351453493092,0.249,0.4101176470588236
Bachelor's degree,Did not complete high school,134,999,1.4171399254298767,0.044,0.12319999999999999
Bachelor's degree,Graduate or Professional degree,347,999,0.9507689419642721,0.55,0.7000000000000001
Bachelor's degree,High School or GED equilivant,141,999,0.6758486298036745,0.992,0.992
Bachelor's degree,Not provided,139,999,1.7547794678943593,0.012,0.0672
Bachelor's degree,Some college or technical school,195,999,0.9582311126319967,0.53,0.7000000000000001
Bachelor's degree,Some graduate school or professional,149,999,1.2561097598998254,0.099,0.231
Did not complete high school,Graduate or Professional degree,239,999,1.7143630957121865,0.01,0.0672
Did not complete high school,High School or GED equilivant,33,999,1.1595296635011922,0.189,0.33075000000000004
Did not complete high school,Not provided,31,999,0.9933225687106614,0.475,0.7000000000000001
Did not complete high school,Some college or technical school,87,999,1.4313106648451954,0.039,0.12133333333333332
Did not complete high school,Some graduate school or professional,41,999,1.6298036516769132,0.017,0.07933333333333334
Graduate or Professional degree,High School or GED equilivant,246,999,0.9058363329178898,0.692,0.8073333333333333
Graduate or Professional degree,Not provided,244,999,2.371179824665977,0.001,0.028
Graduate or Professional degree,Some college or technical school,300,999,1.2675867272981591,0.071,0.1807272727272727
Graduate or Professional degree,Some graduate school or professional,254,999,1.453516273622419,0.026,0.091
High School or GED equilivant,Not provided,38,999,1.18690051726811,0.183,0.33075000000000004
High School or GED equilivant,Some college or technical school,94,999,0.925206507185257,0.609,0.7413913043478261
High School or GED equilivant,Some graduate school or professional,48,999,0.9762326880048238,0.511,0.7000000000000001
Not provided,Some college or technical school,92,999,1.5550356308464284,0.023,0.091
Not provided,Some graduate school or professional,46,999,1.9251553397977457,0.004,0.056
Some college or technical school,Some graduate school or professional,102,999,1.575181772241972,0.01,0.0672
