sampleid	GEN_level_of_education
#q2:types	categorical
10317.000046093	Some college or technical school
10317.000050156	Some graduate school or professional
10317.000037960	Not provided
10317.000047201	Graduate or Professional degree
10317.000046346	High School or GED equilivant
10317.000046308	Some college or technical school
10317.000046301	Some college or technical school
10317.000046306	High School or GED equilivant
10317.000046305	Some college or technical school
10317.000051111	Graduate or Professional degree
10317.000038229	Graduate or Professional degree
10317.000042549	Bachelor's degree
10317.000033294	Not provided
10317.000033295	Not provided
10317.000054309	Bachelor's degree
10317.000046383	Some graduate school or professional
10317.000046385	Some graduate school or professional
10317.000052404	Graduate or Professional degree
10317.000052406	Some college or technical school
10317.000052409	Graduate or Professional degree
10317.000053468	Graduate or Professional degree
10317.000051197	Graduate or Professional degree
10317.000049911	Graduate or Professional degree
10317.000028652	Graduate or Professional degree
10317.000050293	Graduate or Professional degree
10317.000050290	Some graduate school or professional
10317.000050296	Graduate or Professional degree
10317.000050295	Bachelor's degree
10317.000050294	Graduate or Professional degree
10317.000050298	Bachelor's degree
10317.000051264	Some college or technical school
10317.000058509	Some graduate school or professional
10317.000058508	Associate's degree
10317.000047813	Associate's degree
10317.000047602	Some college or technical school
10317.000047603	Some college or technical school
10317.000047604	Bachelor's degree
10317.000047605	Not provided
10317.000047606	Not provided
10317.000047607	Graduate or Professional degree
10317.000050009	Some college or technical school
10317.000050002	Bachelor's degree
10317.000050001	Bachelor's degree
10317.000050004	Associate's degree
10317.000047183	High School or GED equilivant
10317.000046333	Bachelor's degree
10317.000046332	Some graduate school or professional
10317.000046336	Graduate or Professional degree
10317.000052274	Graduate or Professional degree
10317.000054094	Graduate or Professional degree
10317.000054099	Bachelor's degree
10317.000052001	Associate's degree
10317.000052008	Bachelor's degree
10317.000053357	Graduate or Professional degree
10317.000053356	Some graduate school or professional
10317.000053353	Graduate or Professional degree
10317.000053352	Graduate or Professional degree
10317.000048268	Graduate or Professional degree
10317.000050029	Graduate or Professional degree
10317.000047738	Graduate or Professional degree
10317.000047739	Graduate or Professional degree
10317.000047736	Graduate or Professional degree
10317.000062087	Some college or technical school
10317.000062086	Some college or technical school
10317.000062085	Some college or technical school
10317.000062084	Some college or technical school
10317.000062083	Not provided
10317.000062082	Graduate or Professional degree
10317.000062081	Some college or technical school
10317.000062088	Some college or technical school
10317.000050326	Some college or technical school
10317.000053436	Graduate or Professional degree
10317.000053435	Graduate or Professional degree
10317.000049928	Not provided
10317.000049925	Graduate or Professional degree
10317.000049921	Graduate or Professional degree
10317.000051144	Some college or technical school
10317.000051145	Some college or technical school
10317.000044550	Graduate or Professional degree
10317.000044555	Bachelor's degree
10317.000037586	Graduate or Professional degree
10317.000037588	Bachelor's degree
10317.000050231	Graduate or Professional degree
10317.000028233	Graduate or Professional degree
10317.000050281	Bachelor's degree
10317.000050288	Some college or technical school
10317.000050289	Graduate or Professional degree
10317.000051238	Graduate or Professional degree
10317.000051239	Did not complete high school
10317.000051237	Graduate or Professional degree
10317.000051232	Graduate or Professional degree
10317.000051231	Graduate or Professional degree
10317.000033484	High School or GED equilivant
10317.000037986	Some college or technical school
10317.000048309	Graduate or Professional degree
10317.000048303	Graduate or Professional degree
10317.000048304	Some college or technical school
10317.000027918	Graduate or Professional degree
10317.000030366	Graduate or Professional degree
10317.000050240	Graduate or Professional degree
10317.000050241	Graduate or Professional degree
10317.000044340	Bachelor's degree
10317.000038111	High School or GED equilivant
10317.000050032	Graduate or Professional degree
10317.000058550	High School or GED equilivant
10317.000058551	Some college or technical school
10317.000058552	Graduate or Professional degree
10317.000033296	Bachelor's degree
10317.000033297	Graduate or Professional degree
10317.000038323	Graduate or Professional degree
10317.000038324	Graduate or Professional degree
10317.000047151	Did not complete high school
10317.000051999	Graduate or Professional degree
10317.000044423	Associate's degree
10317.000038019	Bachelor's degree
10317.000047228	Bachelor's degree
10317.000047229	Graduate or Professional degree
10317.000047220	Graduate or Professional degree
10317.000047221	Graduate or Professional degree
10317.000046201	Graduate or Professional degree
10317.000053401	Graduate or Professional degree
10317.000036938	Some college or technical school
10317.000051130	Graduate or Professional degree
10317.000038076	Graduate or Professional degree
10317.000038201	Graduate or Professional degree
10317.000047588	Bachelor's degree
10317.000042697	Some college or technical school
10317.000053305	Graduate or Professional degree
10317.000053308	Bachelor's degree
10317.000050242	Graduate or Professional degree
10317.000004079	Not provided
10317.000051204	Graduate or Professional degree
10317.000035761	Some college or technical school
10317.000035768	Graduate or Professional degree
10317.000026047	Graduate or Professional degree
10317.000026048	Graduate or Professional degree
10317.000034151	Graduate or Professional degree
10317.000052429	Bachelor's degree
10317.000052426	Graduate or Professional degree
10317.000052425	Graduate or Professional degree
10317.000052421	Graduate or Professional degree
10317.000040469	High School or GED equilivant
10317.000053481	Graduate or Professional degree
10317.000053480	Bachelor's degree
10317.000027920	Bachelor's degree
10317.000033318	Did not complete high school
10317.000052383	Graduate or Professional degree
10317.000052381	Graduate or Professional degree
10317.000052380	Some college or technical school
10317.000052384	Graduate or Professional degree
10317.000053386	Bachelor's degree
10317.000053387	Graduate or Professional degree
10317.000053463	Some college or technical school
10317.000051193	Some college or technical school
10317.000042969	High School or GED equilivant
10317.000054205	Graduate or Professional degree
10317.000054206	Bachelor's degree
10317.000054207	Graduate or Professional degree
10317.000054208	Graduate or Professional degree
10317.000047620	Graduate or Professional degree
10317.000050235	Graduate or Professional degree
10317.000050234	Some graduate school or professional
10317.000050236	Graduate or Professional degree
10317.000052266	Some graduate school or professional
10317.000054072	Graduate or Professional degree
10317.000047397	High School or GED equilivant
10317.000053433	Bachelor's degree
10317.000046290	Some college or technical school
10317.000046292	Graduate or Professional degree
10317.000046293	Bachelor's degree
10317.000046294	Some college or technical school
10317.000046295	Graduate or Professional degree
10317.000053439	Bachelor's degree
10317.000052516	Did not complete high school
10317.000037978	Graduate or Professional degree
10317.000050031	Bachelor's degree
10317.000031597	Did not complete high school
10317.000031596	Graduate or Professional degree
10317.000031598	Did not complete high school
10317.000047218	Graduate or Professional degree
10317.000030384	Bachelor's degree
10317.000030383	Bachelor's degree
10317.000030382	Graduate or Professional degree
10317.000053371	Some college or technical school
10317.000053373	Graduate or Professional degree
10317.000002929	Graduate or Professional degree
10317.000054330	Graduate or Professional degree
10317.000054333	Graduate or Professional degree
10317.000054334	Bachelor's degree
10317.000054336	Graduate or Professional degree
10317.000054338	Bachelor's degree
10317.000038044	Bachelor's degree
10317.000052416	Not provided
10317.000052414	Graduate or Professional degree
10317.000052412	Graduate or Professional degree
10317.000052418	Some college or technical school
10317.000053454	Bachelor's degree
10317.000053457	Bachelor's degree
10317.000053458	Graduate or Professional degree
10317.000053459	Bachelor's degree
10317.000058487	Graduate or Professional degree
10317.000058480	Bachelor's degree
10317.000051160	Some college or technical school
10317.000051258	Not provided
10317.000051255	Graduate or Professional degree
10317.000051256	Graduate or Professional degree
10317.000046269	Bachelor's degree
10317.000047796	Bachelor's degree
10317.000047795	Bachelor's degree
10317.000048326	Graduate or Professional degree
10317.000048325	Graduate or Professional degree
10317.000048329	Graduate or Professional degree
10317.000049981	Graduate or Professional degree
10317.000042749	Bachelor's degree
10317.000050269	Associate's degree
10317.000050267	Graduate or Professional degree
10317.000050265	Bachelor's degree
10317.000050262	Some college or technical school
10317.000050261	High School or GED equilivant
10317.000050193	High School or GED equilivant
10317.000047455	Graduate or Professional degree
10317.000042865	Some college or technical school
10317.000052523	Bachelor's degree
10317.000052524	Some college or technical school
10317.000048292	Some college or technical school
10317.000047176	Bachelor's degree
10317.000046270	Bachelor's degree
10317.000046344	Graduate or Professional degree
10317.000046345	Some college or technical school
10317.000046342	Graduate or Professional degree
10317.000036170	Graduate or Professional degree
10317.000051099	Graduate or Professional degree
10317.000051094	Graduate or Professional degree
10317.000021985	Graduate or Professional degree
10317.000062078	Some college or technical school
10317.000062072	Graduate or Professional degree
10317.000062073	Some college or technical school
10317.000062070	Some college or technical school
10317.000062076	Some college or technical school
10317.000062077	Some college or technical school
10317.000062074	Bachelor's degree
10317.000062075	Some college or technical school
10317.000053425	Graduate or Professional degree
10317.000053424	Graduate or Professional degree
10317.000051159	Some graduate school or professional
10317.000045018	Graduate or Professional degree
10317.000053321	Graduate or Professional degree
10317.000053326	Bachelor's degree
10317.000053324	Some graduate school or professional
10317.000054198	Some college or technical school
10317.000033783	Graduate or Professional degree
10317.000030471	Graduate or Professional degree
10317.000047370	Graduate or Professional degree
10317.000052448	Bachelor's degree
10317.000048316	Graduate or Professional degree
10317.000048315	Some graduate school or professional
10317.000049956	Bachelor's degree
10317.000049954	Some college or technical school
10317.000036975	Graduate or Professional degree
10317.000050257	Graduate or Professional degree
10317.000050253	Graduate or Professional degree
10317.000050252	Bachelor's degree
10317.000022952	Graduate or Professional degree
10317.000033701	Associate's degree
10317.000046186	Graduate or Professional degree
10317.000050046	Graduate or Professional degree
10317.000050047	Graduate or Professional degree
10317.000050045	Graduate or Professional degree
10317.000035402	Graduate or Professional degree
10317.000035401	Did not complete high school
10317.000040490	Graduate or Professional degree
10317.000047142	Some college or technical school
10317.000047141	Some college or technical school
10317.000047140	Bachelor's degree
10317.000023515	Bachelor's degree
10317.000046375	Graduate or Professional degree
10317.000047609	Graduate or Professional degree
10317.000032653	Graduate or Professional degree
10317.000032650	Some graduate school or professional
10317.000041643	Graduate or Professional degree
10317.000051569	Not provided
10317.000051564	Graduate or Professional degree
10317.000051563	Graduate or Professional degree
10317.000051560	Graduate or Professional degree
10317.000054054	Graduate or Professional degree
10317.000047403	Some college or technical school
10317.000047401	Graduate or Professional degree
10317.000047404	Bachelor's degree
10317.000030255	Some college or technical school
10317.000027853	Bachelor's degree
10317.000033225	Graduate or Professional degree
10317.000046106	Bachelor's degree
10317.000052288	Graduate or Professional degree
10317.000052289	Graduate or Professional degree
10317.000052280	Graduate or Professional degree
10317.000047230	Some graduate school or professional
10317.000047232	Graduate or Professional degree
10317.000047237	Graduate or Professional degree
10317.000044252	Not provided
10317.000058469	High School or GED equilivant
10317.000036924	Some college or technical school
10317.000051100	Graduate or Professional degree
10317.000053311	High School or GED equilivant
10317.000053310	Bachelor's degree
10317.000053317	Graduate or Professional degree
10317.000053316	Graduate or Professional degree
10317.000042722	Graduate or Professional degree
10317.000042724	Bachelor's degree
10317.000042725	Some college or technical school
10317.000027814	Graduate or Professional degree
10317.000054318	Graduate or Professional degree
10317.000054319	Some college or technical school
10317.000054313	Bachelor's degree
10317.000054310	Graduate or Professional degree
10317.000054314	Graduate or Professional degree
10317.000054315	Bachelor's degree
10317.000047776	Graduate or Professional degree
10317.000047777	Graduate or Professional degree
10317.000047779	Graduate or Professional degree
10317.000052430	Bachelor's degree
10317.000052432	High School or GED equilivant
10317.000053475	Graduate or Professional degree
10317.000051180	Graduate or Professional degree
10317.000017138	Graduate or Professional degree
10317.000026517	Bachelor's degree
10317.000053399	Bachelor's degree
10317.000053398	Graduate or Professional degree
10317.000053391	Bachelor's degree
10317.000050282	Bachelor's degree
10317.000050283	Bachelor's degree
10317.000050284	Graduate or Professional degree
10317.000050285	Some college or technical school
10317.000050286	Some college or technical school
10317.000050287	Graduate or Professional degree
10317.000051257	Not provided
10317.000029468	Graduate or Professional degree
10317.000032654	Graduate or Professional degree
10317.000058511	Graduate or Professional degree
10317.000058512	Graduate or Professional degree
10317.000023528	Some graduate school or professional
10317.000052324	Graduate or Professional degree
10317.000052327	Graduate or Professional degree
10317.000042655	Not provided
10317.000052370	Bachelor's degree
10317.000054004	Bachelor's degree
10317.000051561	Bachelor's degree
10317.000047386	Bachelor's degree
10317.000047381	Graduate or Professional degree
10317.000047380	Bachelor's degree
10317.000047196	Bachelor's degree
10317.000047197	Graduate or Professional degree
10317.000051076	Graduate or Professional degree
10317.000052034	Some graduate school or professional
10317.000052031	Bachelor's degree
10317.000052030	Bachelor's degree
10317.000053348	Bachelor's degree
10317.000027887	Bachelor's degree
10317.000002930	Graduate or Professional degree
10317.000033144	Graduate or Professional degree
10317.000033145	Graduate or Professional degree
10317.000033146	Graduate or Professional degree
10317.000058498	Graduate or Professional degree
10317.000054323	Bachelor's degree
10317.000054321	Graduate or Professional degree
10317.000054326	Some college or technical school
10317.000054325	Graduate or Professional degree
10317.000054324	Bachelor's degree
10317.000054329	Graduate or Professional degree
10317.000054328	Some college or technical school
10317.000048277	Graduate or Professional degree
10317.000049933	Graduate or Professional degree
10317.000036405	Some college or technical school
10317.000036403	Bachelor's degree
10317.000046337	Graduate or Professional degree
10317.000041702	Graduate or Professional degree
10317.000033333	Bachelor's degree
10317.000050335	Graduate or Professional degree
10317.000049934	Bachelor's degree
10317.000051171	Graduate or Professional degree
10317.000044543	Graduate or Professional degree
10317.000003283	Not provided
10317.000052281	Bachelor's degree
10317.000051242	Graduate or Professional degree
10317.000051245	Graduate or Professional degree
10317.000051244	Graduate or Professional degree
10317.000052462	Graduate or Professional degree
10317.000052463	Some college or technical school
10317.000031556	Graduate or Professional degree
10317.000048335	Bachelor's degree
10317.000047666	High School or GED equilivant
10317.000047667	High School or GED equilivant
10317.000047664	Graduate or Professional degree
10317.000047665	Some college or technical school
10317.000050183	Some graduate school or professional
10317.000051582	Bachelor's degree
10317.000017759	Bachelor's degree
10317.000017758	Bachelor's degree
10317.000039871	Bachelor's degree
10317.000031189	Did not complete high school
10317.000050021	Bachelor's degree
10317.000050022	Some college or technical school
10317.000048283	Bachelor's degree
10317.000048284	Graduate or Professional degree
10317.000037933	High School or GED equilivant
10317.000035427	Some graduate school or professional
10317.000038081	Bachelor's degree
10317.000033483	Did not complete high school
10317.000047167	Graduate or Professional degree
10317.000047166	Some college or technical school
10317.000051989	Graduate or Professional degree
10317.000052067	Graduate or Professional degree
10317.000052065	Bachelor's degree
10317.000052063	Some graduate school or professional
10317.000052061	Bachelor's degree
10317.000052260	Graduate or Professional degree
10317.000052268	Graduate or Professional degree
10317.000028904	Graduate or Professional degree
10317.000028905	Bachelor's degree
10317.000042995	Some college or technical school
10317.000053410	Bachelor's degree
10317.000053413	Bachelor's degree
10317.000051127	Graduate or Professional degree
10317.000051129	Graduate or Professional degree
10317.000040063	Graduate or Professional degree
10317.000047591	Bachelor's degree
10317.000047596	Bachelor's degree
10317.000047598	Graduate or Professional degree
10317.000052453	Bachelor's degree
10317.000052450	Some college or technical school
10317.000052454	Graduate or Professional degree
10317.000050341	Some graduate school or professional
10317.000050343	Some graduate school or professional
10317.000053496	Graduate or Professional degree
10317.000053491	Graduate or Professional degree
10317.000047778	Graduate or Professional degree
10317.000041781	Bachelor's degree
10317.000027282	Graduate or Professional degree
10317.000050228	Graduate or Professional degree
10317.000016169	Bachelor's degree
10317.000045012	Graduate or Professional degree
10317.000053430	Graduate or Professional degree
10317.000028654	High School or GED equilivant
10317.000058553	Some college or technical school
10317.000053381	Some graduate school or professional
10317.000051548	Graduate or Professional degree
10317.000049985	Graduate or Professional degree
10317.000049986	Bachelor's degree
10317.000047611	Did not complete high school
10317.000047610	Did not complete high school
10317.000042635	Bachelor's degree
10317.000047368	High School or GED equilivant
10317.000042709	Graduate or Professional degree
10317.000042701	Associate's degree
10317.000052431	Bachelor's degree
10317.000047411	Graduate or Professional degree
10317.000046355	Graduate or Professional degree
10317.000042590	High School or GED equilivant
10317.000036431	Graduate or Professional degree
10317.000053344	Bachelor's degree
10317.000028581	Not provided
10317.000050273	Bachelor's degree
10317.000049955	Bachelor's degree
10317.000052055	Bachelor's degree
10317.000050155	Some graduate school or professional
10317.000051210	Not provided
10317.000058471	Bachelor's degree
10317.000058475	Some college or technical school
10317.000058478	Graduate or Professional degree
10317.000041592	Some college or technical school
10317.000046274	Bachelor's degree
10317.000046271	Graduate or Professional degree
10317.000054197	Some college or technical school
10317.000042644	Bachelor's degree
10317.000052369	Bachelor's degree
10317.000029582	Graduate or Professional degree
10317.000039913	Some graduate school or professional
10317.000039912	Some graduate school or professional
10317.000044292	Bachelor's degree
10317.000047680	Bachelor's degree
10317.000047681	Bachelor's degree
10317.000046321	Bachelor's degree
10317.000038251	High School or GED equilivant
10317.000030469	Bachelor's degree
10317.000030466	Some college or technical school
10317.000016493	Graduate or Professional degree
10317.000053429	Graduate or Professional degree
10317.000035414	Graduate or Professional degree
10317.000046215	Bachelor's degree
10317.000059172	Some graduate school or professional
10317.000053482	Some graduate school or professional
10317.000046317	Bachelor's degree
10317.000042660	Graduate or Professional degree
10317.000022433	Not provided
10317.000020353	Some graduate school or professional
10317.000050194	Graduate or Professional degree
10317.000037929	Some college or technical school
10317.000036950	Some college or technical school
10317.000047692	Not provided
10317.000047695	Some college or technical school
10317.000047694	Bachelor's degree
10317.000030145	Graduate or Professional degree
10317.000041956	Graduate or Professional degree
10317.000037516	Graduate or Professional degree
10317.000038316	Bachelor's degree
10317.000026499	Did not complete high school
10317.000041730	Bachelor's degree
10317.000053472	Graduate or Professional degree
10317.000039984	Graduate or Professional degree
10317.000039980	Bachelor's degree
10317.000041678	Graduate or Professional degree
10317.000051557	Associate's degree
10317.000051558	Graduate or Professional degree
10317.000042845	Did not complete high school
10317.000042847	Bachelor's degree
10317.000042846	Graduate or Professional degree
10317.000046326	Some college or technical school
10317.000053343	Graduate or Professional degree
10317.000032735	Some college or technical school
10317.000050184	Some graduate school or professional
10317.000046121	Bachelor's degree
10317.000053419	Bachelor's degree
10317.000053417	Some college or technical school
10317.000038307	Some college or technical school
