Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Five or more,Four,24,999,1.24059351524882,0.129,0.2083846153846154
Five or more,Less than one,64,999,3.1573433026584556,0.001,0.00525
Five or more,Not provided,43,999,2.2828853646126843,0.001,0.00525
Five or more,One,243,999,2.874741615978989,0.001,0.00525
Five or more,Three,52,999,1.6272348113165558,0.025,0.05833333333333334
Five or more,Two,138,999,2.4133810862719525,0.002,0.007
Four,Less than one,66,999,1.7742205708597174,0.008,0.021
Four,Not provided,45,999,1.1455294983900077,0.203,0.30450000000000005
Four,One,245,999,1.2441605003666252,0.1,0.17500000000000002
Four,Three,54,999,0.9240429629338365,0.602,0.6321
Four,Two,140,999,0.9808499686359319,0.451,0.49847368421052635
Less than one,Not provided,85,999,1.3586849821124307,0.053,0.1113
Less than one,One,285,999,1.9448863205042786,0.001,0.00525
Less than one,Three,94,999,2.098816357576505,0.004,0.012
Less than one,Two,180,999,2.3184845416340654,0.002,0.007
Not provided,One,264,999,1.035485802664003,0.342,0.44099999999999995
Not provided,Three,73,999,1.0495506901584857,0.325,0.44099999999999995
Not provided,Two,159,999,1.0114447108401685,0.399,0.4655
One,Three,273,999,1.294004543898544,0.068,0.12981818181818183
One,Two,359,999,1.0369282339555186,0.357,0.44099999999999995
Three,Two,168,999,0.9108530246259349,0.643,0.643
