Group 1,Group 2,Sample size,Permutations,pseudo-F,p-value,q-value
Five or more,Four,24,999,1.24059351524882,0.124,0.2003076923076923
Five or more,Less than one,64,999,3.1573433026584556,0.001,0.004200000000000001
Five or more,Not provided,43,999,2.2828853646126843,0.002,0.007
Five or more,One,243,999,2.874741615978989,0.001,0.004200000000000001
Five or more,Three,52,999,1.6272348113165558,0.019,0.044333333333333336
Five or more,Two,138,999,2.4133810862719525,0.001,0.004200000000000001
Four,Less than one,66,999,1.7742205708597174,0.009,0.023625
Four,Not provided,45,999,1.1455294983900077,0.176,0.264
Four,One,245,999,1.2441605003666252,0.088,0.154
Four,Three,54,999,0.9240429629338365,0.588,0.615
Four,Two,140,999,0.9808499686359319,0.487,0.5382631578947368
Less than one,Not provided,85,999,1.3586849821124307,0.047,0.09870000000000001
Less than one,One,285,999,1.9448863205042786,0.005,0.015000000000000001
Less than one,Three,94,999,2.098816357576505,0.001,0.004200000000000001
Less than one,Two,180,999,2.3184845416340654,0.001,0.004200000000000001
Not provided,One,264,999,1.035485802664003,0.329,0.43181250000000004
Not provided,Three,73,999,1.0495506901584857,0.307,0.42979999999999996
Not provided,Two,159,999,1.0114447108401685,0.432,0.504
One,Three,273,999,1.294004543898544,0.072,0.13745454545454544
One,Two,359,999,1.0369282339555186,0.354,0.4372941176470588
Three,Two,168,999,0.9108530246259349,0.615,0.615
